Month,Thousands of Passengers,Passengers_forecast,Naive forecast
1949-02,118,132,112
1949-03,132,129,118
1949-04,129,121,132
1949-05,121,135,129
1949-06,135,148,121
1949-07,148,148,135
1949-08,148,136,148
1949-09,136,119,148
1949-10,119,104,136
1949-11,104,118,119
1949-12,118,115,104
1950-01,115,126,118
1950-02,126,141,115
1950-03,141,135,126
1950-04,135,125,141
1950-05,125,149,135
1950-06,149,170,125
1950-07,170,170,149
1950-08,170,158,170
1950-09,158,133,170
1950-10,133,114,158
1950-11,114,140,133
1950-12,140,145,114
1951-01,145,,140
